Focus ID; Focus Name; Focus Description; Notes
SOH_reign_in_indiana;[null];[null];Missing description (no localization key exists);
SOH_naval_ohio;[null];[null];Missing description (no localization key exists);
SOH_take_out_west_virgina;[null];[null];Missing description (no localization key exists);
SOH_contact_the_syndicate;[null];[null];Missing description (no localization key exists);
SOH_appeal_to_the_farmer_labor_league;[null];[null];Missing description (no localization key exists);
SOH_demobilization_spending;[null];[null];Missing description (no localization key exists);
SOH_no_more_parties;[null];[null];Missing description (no localization key exists);
SOH_black_market_economy_focus;[null];[null];Missing description (no localization key exists);
SOH_the_fighting_mcooks;[null];[null];Missing description (no localization key exists);
SOH_prepare_smuggling_operation;[null];[null];Missing description (no localization key exists);
SOH_plot_the_revolution;[null];[null];Missing description (no localization key exists);
SOH_the_great_union_congress;[null];[null];Missing description (no localization key exists);
SOH_focus_of_army_research2;[null];[null];Missing description (no localization key exists);
SOH_destroyers;[null];[null];Missing description (no localization key exists);
SOH_invade_pennsylvania;[null];[null];Missing description (no localization key exists);
SOH_Camp_James_A_Garfield;[null];[null];Missing description (no localization key exists);
SOH_farm_subsides;[null];[null];Missing description (no localization key exists);
SOH_autonomous_infrastructure_projects;[null];[null];Missing description (no localization key exists);
SOH_Akron_Foundry;[null];[null];Missing description (no localization key exists);
SOH_regin_in_wisconsin;[null];[null];Missing description (no localization key exists);
SOH_focus_of_army_research;[null];[null];Missing description (no localization key exists);
SOH_spa_defense_Line;[null];[null];Missing description (no localization key exists);
SOH_form_GLAF;[null];[null];Missing description (no localization key exists);
SOH_Ohio_Defense_Plan;[null];[null];Missing description (no localization key exists);
SVA_Developing_synthetic_facilities;Developing Synthetic Facilities;;Empty description (localization key exists);
SVA_Lee_radio_show;Lee Radio Show;;Empty description (localization key exists);
SVA_Combined_arms_focus;Combined Arms Focus;;Empty description (localization key exists);
SVA_army_high_command;Army High Command;;Empty description (localization key exists);
SVA_Developing_synthetic_technologies;Developing Synthetic Technologies;;Empty description (localization key exists);
SVA_1937_democratic_primary;1937 Democratic Primary;;Empty description (localization key exists);
SVA_create_state_parks;Create State Parks;;Empty description (localization key exists);
SVA_imprison_researchers;Imprison Researchers;;Empty description (localization key exists);
SVA_fund_surplus;Fund Surplus;;Empty description (localization key exists);
SVA_Incorperate_forced_labour;Incorporate Forced Labour;;Empty description (localization key exists);
SVA_fortify_against_feds;Fortify Against Feds;;Empty description (localization key exists);
SVA_Tommy_gun_upgrades;Tommy Gun Upgrades;;Empty description (localization key exists);
SVA_virginia_decree;Virginia Decree;;Empty description (localization key exists);
SVA_Valle_is_a_Crook;Valle Is a Crook;;Empty description (localization key exists);
SVA_Construct_a_grand_palace;Construct a Grand Palace;;Empty description (localization key exists);
SVA_develop_chromite_mines;Develop Chromite Mines;;Empty description (localization key exists);
SVA_develop_military_industries;Develop Military Industries;;Empty description (localization key exists);
SVA_airdoctrine;Air Doctrine;;Empty description (localization key exists);
SVA_legalize_lynchings;Legalize Lynchings;;Empty description (localization key exists);
SVA_A_traditional_virginia;A Traditional Virginia;;Empty description (localization key exists);
SVA_airdoctrine2;Air Doctrine2;;Empty description (localization key exists);
SVA_Integrate_maryland;Integrate Maryland;;Empty description (localization key exists);
SVA_offer_postitions_to_grads;Offer Positions to Graduates;;Empty description (localization key exists);
SVA_increase_education_funding;Increase Education Funding;;Empty description (localization key exists);
SVA_Eastern_Virginia_Medical_School;Eastern Virginia Medical School;;Empty description (localization key exists);
SVA_Submarine_flotillas;Submarine Flotillas;;Empty description (localization key exists);
SVA_Trench_raiders;Trench Raiders;;Empty description (localization key exists);
SVA_buy_cheap_guns;Buy Cheap Guns;;Empty description (localization key exists);
SVA_improved_police_gear;Improved Police Gear;;Empty description (localization key exists);
SVA_Royal_resource_commissioners;Royal Resource Commissioners;;Empty description (localization key exists);
SVA_maryland_question;Maryland Question;;Empty description (localization key exists);
SVA_crush_maryland;Crush Maryland;;Empty description (localization key exists);
SVA_build_medical_colleges;Build Medical Colleges;;Empty description (localization key exists);
SVA_Provide_bonuses_for_the_army;Provide Bonuses for the Army;;Empty description (localization key exists);
SVA_Develop_univesites;Develop Universities;;Empty description (localization key exists);
SVA_Robert_e_lee_statue_in_dc;Robert E. Lee Statue in DC;;Empty description (localization key exists);
SVA_grab_tennessee;Grab Tennessee;;Empty description (localization key exists);
SVA_ally_to_maryland;Alliance with Maryland;;Empty description (localization key exists);
SVA_A_Secret_Meeting;A Secret Meeting;;Empty description (localization key exists);
SVA_Virginia_tobacco_for_the_troops;Virginia Tobacco for the Troops;;Empty description (localization key exists);
SVA_war_industries_act;War Industries Act;;Empty description (localization key exists);
SVA_surface_fleet;Surface Fleet;;Empty description (localization key exists);
SVA_logistical_supremacy;Logistical Supremacy;;Empty description (localization key exists);
SVA_the_night_of_terror;The Night of Terror;;Empty description (localization key exists);
SVA_modernized_artillery;Modernized Artillery;;Empty description (localization key exists);
SVA_the_king_leads_from_his_throne;The King Leads from His Throne;;Empty description (localization key exists);
SVA_Agricultural_research_fund;Agricultural Research Fund;;Empty description (localization key exists);
SVA_Our_Military_focus;Our Military Focus;;Empty description (localization key exists);
SVA_van_horns;Van Horns;;Empty description (localization key exists);
SVA_Fanatical_army;Fanatical Army;;Empty description (localization key exists);
SVA_head_south;Head South;;Empty description (localization key exists);
SVA_virginia_volunteers;Virginia Volunteers;;Empty description (localization key exists);
SVA_virginia_international_army;Virginia International Army;;Empty description (localization key exists);
SVA_monarch_lee;Monarch Lee;;Empty description (localization key exists);
SVA_Heavy_water_program;Heavy Water Program;;Empty description (localization key exists);
SVA_reverse_engineering_ft17s;Reverse Engineering FT17s;;Empty description (localization key exists);
SVA_lighting_offensives;Lighting Offensives;;Empty description (localization key exists);
SVA_Technology_collaborations;Technology Collaborations;;Empty description (localization key exists);
SVA_develop_our_navy;Develop Our Navy;;Empty description (localization key exists);
SVA_Convince_the_Senate_to_build_navy;Convince the Senate to Build Navy;;Empty description (localization key exists);
SVA_absolute_rule;Absolute Rule;;Empty description (localization key exists);
SVA_kings_war_act;Kings War Act;;Empty description (localization key exists);
SVA_build_up_rural_virginia;Build up Rural Virginia;;Empty description (localization key exists);
SVA_Developing_our_war_industries;Developing Our War Industries;;Empty description (localization key exists);
SVA_defend_maryland_states_rights;Defend Maryland States Rights;;Empty description (localization key exists);
SVA_Intervene_in_the_economy;Intervene in the Economy;;Empty description (localization key exists);
SVA_Army_war_college;Army War College;;Empty description (localization key exists);
SVA_Quality_tanks;Quality Tanks;;Empty description (localization key exists);
SVA_National_guard_expantion;National Guard Expansion;;Empty description (localization key exists);
SVA_Civilian_Conservation_corps;Civilian Conservation Corps;;Empty description (localization key exists);
SVA_promote_urbanization;Promote Urbanization;;Empty description (localization key exists);
SVA_pennydrive_for_leecandidancy;Penny Drive for Lee Candidacy;;Empty description (localization key exists);
SVA_camouflage_priority;Camouflage Priority;;Empty description (localization key exists);
SVA_integrate_west_virginia;Integrate West Virginia;;Empty description (localization key exists);
SVA_Aggressive_doctrines;Aggressive Doctrines;;Empty description (localization key exists);
SVA_greater_virginia;Greater Virginia;;Empty description (localization key exists);
SVA_Agricultural_industry;Agricultural Industry;;Empty description (localization key exists);
SVA_Soup_kitchens;Soup Kitchens;;Empty description (localization key exists);
SVA_Invest_in_our_navy;Invest in Our Navy;;Empty description (localization key exists);
SVA_Penal_battalions;Penal Battalions;;Empty description (localization key exists);
SVA_pass_social_sercurity;Pass Social Security;;Empty description (localization key exists);
SVA_west_virginia_question;West Virginia Question;;Empty description (localization key exists);
SVA_moseley_doctrine;Moseley Doctrine;;Empty description (localization key exists);
SVA_army_rule;Army Rule;;Empty description (localization key exists);
SVA_fuel_the_war_industries;Fuel the War Industries;;Empty description (localization key exists);
SVA_Army_of_infiltration;Army of Infiltration;;Empty description (localization key exists);
SVA_A_Vast_Fleet;A Vast Fleet;;Empty description (localization key exists);
SVA_Reduce_taxes_for_tobacco_plants;Reduce Taxes for Tobacco Plants;;Empty description (localization key exists);
SVA_byrd;Byrd;;Empty description (localization key exists);
SVA_Commando_focus;Commando Focus;;Empty description (localization key exists);
SVA_occupy_the_roads;Occupy the Roads;;Empty description (localization key exists);
SVA_raider_fleet;Raider Fleet;;Empty description (localization key exists);
SVA_Emergency_conscription_act;Emergency Conscription Act;;Empty description (localization key exists);
SVA_Full_nationalization_of_industries;Full Nationalization of Industries;;Empty description (localization key exists);
SVA_mass_motorization_effort;Mass Motorization Effort;;Empty description (localization key exists);
SVA_southern_pride;Southern Pride;;Empty description (localization key exists);
SVA_kings_purse_social_security;Kings Purse Social Security;;Empty description (localization key exists);
SVA_fighter;Fighter;;Empty description (localization key exists);
SVA_meet_walter_waters;Meet Walter Waters;;Empty description (localization key exists);
SVA_meet_general_valle;Meet General Valle;;Empty description (localization key exists);
SVA_Develop_larger_vessles;Develop Larger Vessels;;Empty description (localization key exists);
SVA_National_railroad_development;National Railroad Development;;Empty description (localization key exists);
SVA_Moseley_marines;Moseley's Marines;;Empty description (localization key exists);
SVA_reunite_west_virginia;Reunite West Virginia;;Empty description (localization key exists);
SVA_marshal_doctrine;Marshal Doctrine;;Empty description (localization key exists);
SVA_vaccine_mandates;Vaccine Mandates;;Empty description (localization key exists);
SVA_rural_armories;Rural Armories;;Empty description (localization key exists);
SVA_Police_weapons_complex;Police Weapons Complex;;Empty description (localization key exists);
SVA_Develop_our_airforce;Develop Our Air force;;Empty description (localization key exists);
SVA_embrace_mid_atlantic_identity;Embrace Mid Atlantic Identity;;Empty description (localization key exists);
SVA_King_personally_funded_research;King Personally Funded Research;;Empty description (localization key exists);
SVA_Paramilitary_tobacco_farmers;Paramilitary Tobacco Farmers;;Empty description (localization key exists);
SVA_Harsh_segrigation;Harsh Segregation;;Empty description (localization key exists);
SVA_spread_anglo_saxon_ideals;Spread Anglo Saxon Ideals;;Empty description (localization key exists);
SVA_arkansas_gambit;Arkansas Gambit;;Empty description (localization key exists);
SVA_Modernized_army;Modernized Army;;Empty description (localization key exists);
SVA_Root_out_corruption_in_the_factories;Root Out Corruption in the Factories;;Empty description (localization key exists);
SVA_emergency_king_powers;Emergency King Powers;;Empty description (localization key exists);
SVA_End_segrigation;End Segregation;;Empty description (localization key exists);
SVA_by_the_blood_of_the_bayonet;By the Blood of the Bayonet;;Empty description (localization key exists);
SVA_Royal_Southern_Guard;Royal Southern Guard;;Empty description (localization key exists);
SVA_Militant_police_army;Militant Police Army;;Empty description (localization key exists);
SVA_The_virginia_tobacco_industry;The Virginia Tobacco Industry;;Empty description (localization key exists);
SVA_Quantity_tanks;Quantity Tanks;;Empty description (localization key exists);
SVA_Elect_small_parliament;Elect Small Parliament;;Empty description (localization key exists);
SVA_price;Price;;Empty description (localization key exists);
SVA_Carrier_development;Carrier Development;;Empty description (localization key exists);
SVA_challenge_pennsyvania_domaniance;Challenge Pennsylvanian Dominance;;Empty description (localization key exists);
SVA_New_Confederate_Highway;New Confederate Highway;;Empty description (localization key exists);
SVA_partial_nationalization_of_industries;Partial Nationalization of Industries;;Empty description (localization key exists);
SVA_Modern_mechanized_warfare;Modern Mechanized Warfare;;Empty description (localization key exists);
SVA_Developing_our_industries;Developing Our Industries;;Empty description (localization key exists);
SVA_Integrate_tennessee;Integrate Tennessee;;Empty description (localization key exists);
SVA_training_army;Training Army;;Empty description (localization key exists);
SVA_Fleet_of_virginia;Fleet of Virginia;;Empty description (localization key exists);
SVA_arsenals_of_democracy;Arsenals of Democracy;;Empty description (localization key exists);
SVA_A_new_tobacco_boom;A New Tobacco Boom;;Empty description (localization key exists);
SVA_medical_reserves_corps;Medical Reserves Corps;;Empty description (localization key exists);
SVA_submarine_fleet;Submarine Fleet;;Empty description (localization key exists);
SVA_Statues_in_every_city;Statues in Every City;;Empty description (localization key exists);
SVA_radar_development;Radar Development;;Empty description (localization key exists);
SVA_unusual_allies;Unusual Allies;;Empty description (localization key exists);
SVA_integrate_army;Integrate Army;;Empty description (localization key exists);
SVA_End_segrigation1;End Segregation;;Empty description (localization key exists);
SVA_personally_re_organize_calvary;Personally Re Organize Cavalry;;Empty description (localization key exists);
SVA_work_with_old_families;Work with Old Families;;Empty description (localization key exists);
SVA_Propose_anti_communist_alliance;Propose Anti Communist Alliance;;Empty description (localization key exists);
SVA_celebrate_robert_e_lee;Celebrate Robert E Lee;;Empty description (localization key exists);
SVA_Moseley_paramilitary_militias;Moseley's Paramilitary Militias;;Empty description (localization key exists);
SVA_Create_and_regulate_crownland;Create and Regulate Crownlands;;Empty description (localization key exists);
SVA_aprove_more_military_funding;Approve More Military Funding;;Empty description (localization key exists);
SVA_Open_Virginia_aluminum;Open Virginia Aluminum;;Empty description (localization key exists);
SVA_New_improved_industry;New Improved Industry;;Empty description (localization key exists);
SVA_fighter_bombers;Fighter Bombers;;Empty description (localization key exists);
SVA_royal_research_investment;Royal Research Investment;;Empty description (localization key exists);
SVA_deputize_locals;Deputize Locals;;Empty description (localization key exists);
SVA_reform_the_confederacy;Reform the Confederacy;;Empty description (localization key exists);
SVA_Police_airforce;Police Air Force;;Empty description (localization key exists);
SVA_Integrate_arkansas;Integrate Arkansas;;Empty description (localization key exists);
SVA_Establish_virginia_commonwealth;Establish Virginia Commonwealth;;Empty description (localization key exists);
SVA_oppose_longism;Oppose Longism;;Empty description (localization key exists);
SVA_dealing_with_the_kings_power;Dealing with the Kings Power;;Empty description (localization key exists);
SVA_Moseley_Paratroopers;Moseley's Paratroopers;;Empty description (localization key exists);
SVA_army_of_the_saxon;Army of the Saxon;;Empty description (localization key exists);
SVA_pass_election_reform;Pass Election Reform;;Empty description (localization key exists);
SVA_By_the_dirt_of_the_shovel;By the Dirt of the Shovel;;Empty description (localization key exists);
SVA_Nationalize_key_industries;Nationalize Key Industries;;Empty description (localization key exists);
SVA_denouce_west_virginia;Denounce West Virginia;;Empty description (localization key exists);
SVA_subsidized_tobacco;Subsidized Tobacco;;Empty description (localization key exists);
SVA_The_iron_mule;The Iron Mule;;Empty description (localization key exists);
SVA_general_lee_returns;General Lee Returns;;Empty description (localization key exists);
SVA_retake_greater_virginia;Retake Greater Virginia;;Empty description (localization key exists);
SVA_invest_in_war_industry;Invest in War Industry;;Empty description (localization key exists);
STX_a_new_era_of_expansion;A New Era of Expansionism;;Empty description (localization key exists);
STX_industralize_camargo;Industralize Camargo;;Empty description (localization key exists);
STX_new_land_doctrines;New Land Doctrines;;Empty description (localization key exists);
STX_to_stand_the_test_of_time;To Stand the Test of Time;;Empty description (localization key exists);
MTX_crack_down_on_corruption;Crack Down on Corruption;;Empty description (localization key exists);
STX_Nathan_Bedford_Forrest_Highway;Nathan Bedford Forrest Highway;;Empty description (localization key exists);
STX_mixed_tactics;Mixed Tactics;;Empty description (localization key exists);
MTX_forcefully_expand_the_army;Forcefully Expand the Army;;Empty description (localization key exists);
STX_same_standards_as_the_army;Same Standards as the Army;;Empty description (localization key exists);
STX_expand_urban_manufactories;Expand Urban Manufacturers;;Empty description (localization key exists);
STX_stand_firm_against_the_texas_rangers;Stand Firm Against the Rangers;;Empty description (localization key exists);
STX_Klan_Mechanized;Klan Mechanized;;Empty description (localization key exists);
STX_Selling_Texas_Bonds;Selling Texas Bonds;;Empty description (localization key exists);
STX_Root_Out_Facism;Root Out Fascism;;Empty description (localization key exists);
STX_none_is_free_from_the_law;None Is Free from the Law;;Empty description (localization key exists);
STX_demand_eastern_new_mexico;Demand Eastern New Mexico;;Empty description (localization key exists);
MTX_victory_in_the_civil_war;Victory in the Civil War;;Empty description (localization key exists);
STX_Developing_Klan_research_Sector;Developing the Klan Research Sector;;Empty description (localization key exists);
STX_keep_the_army_as_an_extension;Keep the Army as an Extension;;Empty description (localization key exists);
STX_Establish_texas_Police_State;Establish Texan Police State;;Empty description (localization key exists);
STX_university_funding;University Funding;;Empty description (localization key exists);
STX_guardian_rangers;Guardian Rangers;;Empty description (localization key exists);
STX_Adopt_Asymetrical_tactics;Adopt Asymetrical tactics;;Empty description (localization key exists);
STX_desegrate_the_military;Desegrate the Military;;Empty description (localization key exists);
STX_Introduce_Slave_Labour;Introduce Slave Labor;;Empty description (localization key exists);
STX_a_modernized_division;A Modernized Division;;Empty description (localization key exists);
STX_Secret_Police;Secret Police;;Empty description (localization key exists);
STX_completely_abolish_the_texas_rangers;Completely Abolish the Texas Rangers;;Empty description (localization key exists);
STX_ranger_weapons;Ranger Weapons;;Empty description (localization key exists);
STX_demand_the_oklahoman_panhandle;Demand the Oklahoman Panhandle;;Empty description (localization key exists);
STX_texas_rangers_no_more;Texas Rangers No More;;Empty description (localization key exists);
STX_old_traditions;Old Traditions;;Empty description (localization key exists);
STX_let_the_rangers_handle_it;Let the Rangers Handle it;;Empty description (localization key exists);
STX_modern_law_enforcement;Modern Law Enforcement;;Empty description (localization key exists);
STX_overrun_the_mayors;Overrun the Mayors;;Empty description (localization key exists);
STX_Klan_Industrial_Investments;Klan Industrial Investments;;Empty description (localization key exists);
STX_remove_all_government_funding;Remove All Government Funding;;Empty description (localization key exists);
STX_help_urban_folks;Help Urban Folks;;Empty description (localization key exists);
STX_Klan_Tank_Plants;Klan Tank Plants;;Empty description (localization key exists);
STX_Traditions_Of_Klan_Cavalry;Klan Cavalry Tradition;;Empty description (localization key exists);
STX_an_infantry_army;An Infantry Army;;Empty description (localization key exists);
MTX_ban_the_klan;Ban the Klan;;Empty description (localization key exists);
STX_moderate_texas_rangers_force;Moderate Texas Rangers Force;;Empty description (localization key exists);
STX_ranger_tactics;Ranger Tactics;;Empty description (localization key exists);
STX_fund_the_police_force;Fund the Police Force;;Empty description (localization key exists);
STX_Organize_texas_peoples_army;Organize Texas Peoples Army;;Empty description (localization key exists);
STX_fund_the_highway_patrol;Fund the Highway Patrol;;Empty description (localization key exists);
STX_Reeducation_camps;Re-Education Camps;;Empty description (localization key exists);
STX_export_to_north_america;Export to North America;;Empty description (localization key exists);
STX_teach_the_army;Teach the Army;;Empty description (localization key exists);
STX_liberate_camargo;Liberate Camargo;;Empty description (localization key exists);
STX_Klan_Takeover_Of_Oil;Klan Takeover of Oil;;Empty description (localization key exists);
STX_sway_conservatives;Sway Conservatives;;Empty description (localization key exists);
STX_reassure_the_people;Reassure the People;;Empty description (localization key exists);
STX_road_to_california;Road to California;;Empty description (localization key exists);
STX_Rubber_Plants;Rubber Plants;;Empty description (localization key exists);
STX_the_new_high_court;The New High Court;;Empty description (localization key exists);
STX_Crack_down_on_insubordination;Crack Down on Insubordination;;Empty description (localization key exists);
STX_equal_under_law;Equal Under Law;;Empty description (localization key exists);
MTX_equally_represent_everyone_in_government_jobs;Equally Represent Everyone in Government Jobs;;Empty description (localization key exists);
STX_jobs_for_the_ex_rangers;Jobs for the Ex-Rangers;;Empty description (localization key exists);
STX_Equality_for_all;Equality for All;;Empty description (localization key exists);
MTX_ask_the_texas_rangers_for_help;Ask the Texas Rangers for Help;;Empty description (localization key exists);
MTX_prepare_a_defensive_line_at_the_pesos_river;Prepare a Defensive Line at the Pesos River;;Empty description (localization key exists);
STX_pioneer_mechanized_farming;Pioneer Mechanized Farming;;Empty description (localization key exists);
STX_export_to_europe;Export to Europe;;Empty description (localization key exists);
STX_a_country_lead_by_the_texas_rangers;A Country Led by the Texas Rangers;;Empty description (localization key exists);
STX_pioner_new_rangers;Pioner New Rangers;;Empty description (localization key exists);
STX_an_integrated_force;An Integrated Force;;Empty description (localization key exists);
STX_war_on_crime;War on Crime;;Empty description (localization key exists);
STX_elect_miriam_a_ferguson;Elect Miriam A. Ferguson;;Empty description (localization key exists);
STX_secure_mexican_imports;Secure Mexican Imports;;Empty description (localization key exists);
STX_infrastructure_projects;Infrastructure Projects;;Empty description (localization key exists);
STX_up_north;Going Up North;;Empty description (localization key exists);
STX_Texas_rangers_unneeded;Texas Rangers Unneeded;;Empty description (localization key exists);
MTX_mobolize_our_industry;Mobolize Our Industry;;Empty description (localization key exists);
STX_experiment_with_combines;Experiment with Combines;;Empty description (localization key exists);
STX_healthcare_bills;Healthcare Bills;;Empty description (localization key exists);
STX_Texas_Klanmando;Texan Klanmandos;;Empty description (localization key exists);
STX_lock_the_boarders;Lock the Borders;;Empty description (localization key exists);
STX_Develop_Dallas1;Develop Dallas;;Empty description (localization key exists);
STX_A_Special_Texan_Tank;A Special Texan Tank;;Empty description (localization key exists);
STX_overwhelming_tactics;Overwhelming Tactics;;Empty description (localization key exists);
STX_into_georgia_and_florida;Into Georgia and Florida;;Empty description (localization key exists);
STX_finish_the_job;Finish the Job;;Empty description (localization key exists);
STX_create_new_jobs_for_former_rangers;Create New Jobs for Former Rangers;;Empty description (localization key exists);
STX_a_just_war;A Just War;;Empty description (localization key exists);
STX_integration_into_the_police_force;Integration into the Police Force;;Empty description (localization key exists);
STX_modern_pesticides;Modern Pesticides;;Empty description (localization key exists);
STX_Develop_Austin1;Develop Austin;;Empty description (localization key exists);
STX_Construct_New_Prison;Construct New Prisons;;Empty description (localization key exists);
STX_give_more_power_to_the_texas_rangers;Give More Power to the Rangers;;Empty description (localization key exists);
STX_a_perfect_society;A Perfect Society;;Empty description (localization key exists);
MTX_dan_moodys_coup;Dan Moodys Coup;;Empty description (localization key exists);
STX_improve_texan_manufactories;Improve Texan Manufacturers;;Empty description (localization key exists);
STX_Burn_SOK;Burn Oklahoma;;Empty description (localization key exists);
STX_Rocketry_Development;Rocketry Development;;Empty description (localization key exists);
STX_the_new_government;The New Government;;Empty description (localization key exists);
STX_the_state_the_depression_forgot;The State the Depression Forgot;;Empty description (localization key exists);
STX_unite_the_midwest;Unite the Midwest;;Empty description (localization key exists);
STX_Klan_Resource_commission;Klan Resource Commission;;Empty description (localization key exists);
STX_pro_ranger_propaganda;Pro-Ranger Propaganda;;Empty description (localization key exists);
STX_ovverrun_the_highway_patrol;Overrun the Highway Patrol;;Empty description (localization key exists);
STX_a_texas_ranger_division;A Texas Ranger Division;;Empty description (localization key exists);
STX_cleaning_urban_violence;Cleaning Urban Violence;;Empty description (localization key exists);
STX_split_funding;Split Funding;;Empty description (localization key exists);
STX_overrun_the_courts;Overrun the Courts;;Empty description (localization key exists);
STX_enact_temporary_conscription;Enact Temporary Draft;;Empty description (localization key exists);
STX_improve_the_arms_industry;Improve the Arms Industry;;Empty description (localization key exists);
STX_into_the_carolinas;Into the Carolinas;;Empty description (localization key exists);
STX_abolish_the_old_army;Abolish the Old Army;;Empty description (localization key exists);
STX_weak_texas_rangers_force;Weak Texas Rangers Force;;Empty description (localization key exists);
STX_the_new_highway_patrol;The New Highway Patrol;;Empty description (localization key exists);
STX_deal_with_the_crimewave;Deal with the Crimewave;;Empty description (localization key exists);
STX_social_security;Social Security;;Empty description (localization key exists);
STX_Texas_pacifist_movement;Texas Pacifist Movement;;Empty description (localization key exists);
STX_reclaim_the_texan_panhandle;Reclaim the Texan Panhandle;;Empty description (localization key exists);
STX_integration_into_the_highway_patrol;Integration into the Highway Patrol;;Empty description (localization key exists);
STX_Content_Wide_funding_Campaign;Continent-Wide Funding Campaign;;Empty description (localization key exists);
STX_a_modern_army;A Modern Army;;Empty description (localization key exists);
STX_move_towards_eqaulity;Move Towards Equality;;Empty description (localization key exists);
STX_Synthetic_Plant;Synthetics Plant;;Empty description (localization key exists);
STX_equal_recruitment_into_the_rangers;Equal Recruitment into the Rangers;;Empty description (localization key exists);
STX_Texan_Tanks;Texan Tanks;;Empty description (localization key exists);
MTX_integrate_texas;Integrate Texas;;Empty description (localization key exists);
STX_a_new_union;A New Union;;Empty description (localization key exists);
STX_expand_the_power_grid;Expand the Power Grid;;Empty description (localization key exists);
MTX_let_the_people_contribute;Let the People Contribute;;Empty description (localization key exists);
STX_the_new_police_force;The New Police Force;;Empty description (localization key exists);
MTX_prepare_the_davis_line;Prepare the Davis Line;;Empty description (localization key exists);
STX_Armouries_of_the_Klan2;Build Even More Armories;;Empty description (localization key exists);
STX_push_into_the_deep_south;Push into the Deep South;;Empty description (localization key exists);
STX_rangerless_weapons;Rangerless Weapons;;Empty description (localization key exists);
STX_Armouries_of_the_Klan;Armories of the Klan;;Empty description (localization key exists);
MTX_remove_populism_for_good;Remove Populism for Good;;Empty description (localization key exists);
STX_recruit_the_reserves;Recruit the Reserves;;Empty description (localization key exists);
STX_Mobile_warfare_doctrine;Mobile Warfare Doctrine;;Empty description (localization key exists);
MTX_pacify_violent_texans;Pacify Violent Texans;;Empty description (localization key exists);
MTX_push_legal_reform;Push Legal Reform;;Empty description (localization key exists);
STX_Waco_Klan_Weapons_Plant;Waco Klan Weapons Plant;;Empty description (localization key exists);
STX_tax_cuts;Tax Cuts;;Empty description (localization key exists);
STX_rubber_wheeled_tractors;Rubber Wheeled Tractors;;Empty description (localization key exists);
STX_reclaim_eastern_texas;Reclaim Eastern Texas;;Empty description (localization key exists);
STX_more_important_than_the_army;More Important Than the Army;;Empty description (localization key exists);
STX_proven_tactics;Proven Tactics;;Empty description (localization key exists);
STX_a_cavalry_division;A Cavalry Division;;Empty description (localization key exists);
STX_powerful_texas_rangers_force;Powerful Texas Rangers Force;;Empty description (localization key exists);
STX_regulate_the_texas_rangers;Regulate the Texas Rangers;;Empty description (localization key exists);
STX_The_Klan_Atom_Project;The Houston Project;;Empty description (localization key exists);
STX_Prison_Labour;Prison Labour;;Empty description (localization key exists);
STX_Fanatical_Forces;Fanatical Forces;;Empty description (localization key exists);
STX_Human_waves;Human Waves;;Empty description (localization key exists);
STX_Obtain_Advance_European_Weapons;Obtain Advanced European Weapons;;Empty description (localization key exists);
STX_new_deal;New Deal;;Empty description (localization key exists);
STX_crack_down_on_all_crime;Crack Down on All Crime;;Empty description (localization key exists);
STX_create_new_rural_manufactories;Create New Rural Manufacturers;;Empty description (localization key exists);
STX_continue_into_the_west;Continue into the West;;Empty description (localization key exists);
STX_nebra_and_wyo_frens;Nebra and Wyo Frens;;Empty description (localization key exists);
STX_the_new_texan_army;The New Texan Army;;Empty description (localization key exists);
STX_reallocate_government_funding;Reallocate Government Funding;;Empty description (localization key exists);
STX_revenge_against_oklahoma_and_louisiana;Revenge Against Oklahoma and Louisiana;;Empty description (localization key exists);
STX_Ask_For_Weapons_Donations;Ask for Weapon Donations;;Empty description (localization key exists);
STX_secure_oil_exports;Secure Oil Exports;;Empty description (localization key exists);
STX_find_jobs_for_former_soldiers;Find Jobs for Former Soldiers;;Empty description (localization key exists);
STX_economic_investments;Economic Investments;;Empty description (localization key exists);
STX_A_Klan_Jet_Fighter;A Klan Jet Fighter;;Empty description (localization key exists);
STX_remember_the_alamo;Remember The Alamo;;Empty description (localization key exists);
STX_future_economic_investments;Future Economic Investments;;Empty description (localization key exists);
STX_promotions_based_on_merit;Promotions Based on Merit;;Empty description (localization key exists);
STX_Allow_Segrigate_Armed_Forces;Allow Segregation in the Armed Forces;;Empty description (localization key exists);
STX_very_weak_texas_rangers_force;Very Weak Texas Rangers Force;;Empty description (localization key exists);
STX_solidify_power;Solidify Power;;Empty description (localization key exists);
STX_flying_the_dixie_Battle_Flag;Flying the Dixie Battle Flag;;Empty description (localization key exists);
STX_through_arkansas_and_tennesse;Through Arkansas and Tennessee;;Empty description (localization key exists);
STX_very_powerful_texas_rangers_force;Very Powerful Texas Rangers Force;;Empty description (localization key exists);
STX_texanize_camargo;Texanize Camargo;;Empty description (localization key exists);
STX_education_reforms;Education Reforms;;Empty description (localization key exists);
STX_overrun_the_police_force;Overrun the Police Force;;Empty description (localization key exists);
STX_reclaim_texas;Reclaim Texas;;Empty description (localization key exists);
STX_deal_with_the_matters_of_state;Deal with the Matters of State;;Empty description (localization key exists);
MTX_fire_those_connected_to_the_crime_wave;Fire Those Connected to the Crime Wave;;Empty description (localization key exists);
STX_Klan_Blitzkrieg;Klan Blitzkrieg;;Empty description (localization key exists);
MTX_preare_defensive_lines;Preare Defensive Lines;;Empty description (localization key exists);
